controls,mean,median,std deviation,variance,coefficient of variance,kurtosis,interquartile range ,trim mean,minimum,maximum ,skewness
1,98.55,0,289.66,83900.2,2.94,,0,1.22,0,6117,5.04
2,398.88,141,533.95,285106,1.34,174758.67,141,204.76,0,4927,1.64
3,216.69,0,341.52,116637.67,1.58,,31,55.69,0,3974,2.53
4,138.16,3,331.34,109787.51,2.4,-782915.36,3,13.12,0,4354,3.83
5,133.89,3,303.73,92251.33,2.27,,3,4.82,0,3314,3.04
6,152.3,5,389.84,151976.48,2.56,,5,5.67,0,7431,3.86
7,162.62,5,446.61,199457.33,2.74,,5,4.94,0,8000,5.58
8,290.49,21,455.95,207894.19,1.57,225839.5,21,114.8,0,6321,2.43
9,107.27,7,235.23,55332.23,2.19,-309909.93,7,13.5,0,2674,3.36
10,280.41,41,435.57,189721.87,1.55,-76694.09,41,106.68,0,4245,2.2
11,162.98,3,314.31,98792.13,1.93,167771.39,3,36.52,0,6752,3.34
12,93.31,2,199.14,39660.97,2.13,-261901.17,2,6.95,0,2682,2.82
13,168.28,26,284.62,81006.71,1.69,87903.31,26,56.64,0,3180,2.72
14,343.72,60,554.32,307274.66,1.61,281400.94,60,121.66,0,5931,2.28
15,278.2,71,422.31,178345.19,1.52,61823.16,71,121.55,0,4935,2.38
16,205.89,48,327.59,107318.28,1.59,284163.79,48,83.95,0,8000,3.5
17,176.77,0,314.96,99197.83,178.17,-257992.03,0,44.53,0,4658,2.61
18,241.54,52,383.4,146999.3,158.73,172221.18,52,90.88,0,4517,2.34
19,169.43,0,309.14,95569.67,182.46,-535098.08,0,40.47,0,2918,2.66
20,229.96,3,422.07,178143.69,183.54,756672.53,3,49.52,0,8000,3.34
21,172.29,0,321.41,103303.58,186.55,304589.09,0,33.97,0,3506,2.59
22,161.76,21,253.51,64268.47,156.73,118906.46,21,58.69,0,3222,2.31
23,189.77,61,285.65,81593.13,150.52,-50852.43,61,83.6,0,3887,2.32
24,351.91,102,624.38,389846.08,177.42,140210.25,102,141.36,0,8000,4
25,295.33,91,420.11,176494.6,142.25,40004.55,91,141.35,0,4658,1.99
26,231.81,0,418.73,175336.06,180.63,315035.59,0,50.5,0,8000,2.66
27,314.05,130,431.45,186150.45,137.38,42471.75,130,161.02,0,3869,1.94
28,293.43,131,408.76,167083.37,139.3,136495.67,131,156.2,0,5750,2.42
29,237.95,41,386.8,149617.78,162.56,210809.54,41,89.18,0,4658,2.55
30,219.46,47,357.85,128055.1,163.06,105898.99,47,83.55,0,4228,2.72
31,147.49,0,474.86,151964.95,321.97,,0,0.25,0,4753,4.15
32,68.25,0,210.45,44288.93,308.34,,0,0,0,4009,4.71